"level_id","stronghold","wave_index","event_type","archetype","spawn_count","trigger_on_remaining","duration_sec","hold_duration_sec","defense_target_hp","design_intent"
"LEVEL_01","Stronghold_01","0","Reinforcement","grunt","2","5","","","","加压补兵，抬升清线负荷"
"LEVEL_01","Stronghold_01","1","Chase","rusher","2","","7","","","追击逼位，打断站桩输出"
"LEVEL_01","Stronghold_01","2","HoldPoint","ranged","2","","","7","","强制站位，测试控场与资源轮转"
"LEVEL_01","Stronghold_01","3","ProtectTarget","tank","3","","","","220","保护高价值目标，放大失误成本"
"LEVEL_01","Stronghold_02","0","Reinforcement","grunt","2","5","","","","加压补兵，抬升清线负荷"
"LEVEL_01","Stronghold_02","1","Chase","rusher","2","","8","","","追击逼位，打断站桩输出"
"LEVEL_01","Stronghold_02","2","Reinforcement","ranged","3","4","","","","加压补兵，抬升清线负荷"
"LEVEL_01","Stronghold_02","3","ProtectTarget","tank","3","","","","240","保护高价值目标，放大失误成本"
"LEVEL_01","Stronghold_02","4","Reinforcement","elite","4","6","","","","加压补兵，抬升清线负荷"
"LEVEL_01","Stronghold_03","0","Reinforcement","grunt","3","5","","","","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_01","Stronghold_03","1","Chase","rusher","3","","8","","","追击逼位，打断站桩输出（第三战区）"
"LEVEL_01","Stronghold_03","2","Reinforcement","ranged","4","4","","","","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_01","Stronghold_03","3","ProtectTarget","tank","4","","","","280","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_01","Stronghold_03","4","Reinforcement","elite","5","6","","","","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_02","Stronghold_01","0","Chase","rusher","2","","8","","","追击逼位，打断站桩输出"
"LEVEL_02","Stronghold_01","1","Reinforcement","ranged","3","5","","","","加压补兵，抬升清线负荷"
"LEVEL_02","Stronghold_01","2","HoldPoint","controller","3","","","8","","强制站位，测试控场与资源轮转"
"LEVEL_02","Stronghold_01","3","ProtectTarget","tank","4","","","","280","保护高价值目标，放大失误成本"
"LEVEL_02","Stronghold_01","4","Reinforcement","elite","4","6","","","","加压补兵，抬升清线负荷"
"LEVEL_02","Stronghold_02","0","Reinforcement","rusher","3","5","","","","加压补兵，抬升清线负荷"
"LEVEL_02","Stronghold_02","1","Chase","rusher","3","","10","","","追击逼位，打断站桩输出"
"LEVEL_02","Stronghold_02","2","HoldPoint","controller","3","","","9","","强制站位，测试控场与资源轮转"
"LEVEL_02","Stronghold_02","3","Reinforcement","tank","4","4","","","","加压补兵，抬升清线负荷"
"LEVEL_02","Stronghold_02","4","ProtectTarget","elite","5","","","","320","保护高价值目标，放大失误成本"
"LEVEL_02","Stronghold_03","0","Reinforcement","rusher","4","5","","","","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_02","Stronghold_03","1","Chase","rusher","4","","10","","","追击逼位，打断站桩输出（第三战区）"
"LEVEL_02","Stronghold_03","2","HoldPoint","controller","4","","","9","","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_02","Stronghold_03","3","Reinforcement","tank","5","4","","","","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_02","Stronghold_03","4","ProtectTarget","elite","6","","","","360","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_03","Stronghold_01","0","Reinforcement","rusher","3","4","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_03","Stronghold_01","1","HoldPoint","tank","0","-1","0","8","0","强制站位，测试控场与资源轮转"
"LEVEL_03","Stronghold_01","2","Chase","rusher","2","-1","8","0","0","追击逼位，打断站桩输出"
"LEVEL_03","Stronghold_01","3","ProtectTarget","tank","4","-1","0","0","260","保护高价值目标，放大失误成本"
"LEVEL_03","Stronghold_02","0","Reinforcement","rusher","4","4","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_03","Stronghold_02","1","HoldPoint","tank","0","-1","0","8","0","强制站位，测试控场与资源轮转"
"LEVEL_03","Stronghold_02","2","Chase","rusher","3","-1","8","0","0","追击逼位，打断站桩输出"
"LEVEL_03","Stronghold_02","3","ProtectTarget","tank","5","-1","0","0","280","保护高价值目标，放大失误成本"
"LEVEL_03","Stronghold_03","0","Reinforcement","rusher","4","4","0","0","0","加压补兵，抬升清线负荷（第三战区）"
"LEVEL_03","Stronghold_03","1","HoldPoint","tank","0","-1","0","8","0","强制站位，测试控场与资源轮转（第三战区）"
"LEVEL_03","Stronghold_03","2","Chase","rusher","3","-1","8","0","0","追击逼位，打断站桩输出（第三战区）"
"LEVEL_03","Stronghold_03","3","ProtectTarget","tank","5","-1","0","0","300","保护高价值目标，放大失误成本（第三战区）"
"LEVEL_04","Stronghold_01","0","HoldPoint","tank","0","-1","0","8","0","强制站位，测试控场与资源轮转"
"LEVEL_04","Stronghold_01","1","Reinforcement","rusher","3","6","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_04","Stronghold_01","2","ProtectTarget","tank","3","-1","0","0","260","保护高价值目标，放大失误成本"
"LEVEL_04","Stronghold_01","3","Chase","rusher","1","-1","10","0","0","追击逼位，打断站桩输出"
"LEVEL_04","Stronghold_01","4","Reinforcement","elite","4","8","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_04","Stronghold_02","0","HoldPoint","tank","0","-1","0","8","0","强制站位，测试控场与资源轮转"
"LEVEL_04","Stronghold_02","1","Reinforcement","rusher","4","6","0","0","0","加压补兵，抬升清线负荷"
"LEVEL_04","Stronghold_02","2","ProtectTarget","tank","4","-1","0","0","280","保护高价值目标，放大失误成本"
"LEVEL_04","Stronghold_02","3","Chase","rusher","2","-1","10","0","0","追击逼位，打断站桩输出"
"LEVEL_04","Stronghold_02","4","Reinforcement","elite","5","8","0","0","0","加压补兵，抬升清线负荷"
