"level_id","first_exp","first_pearls","first_credits","first_cumulative_exp","first_cumulative_pearls","first_cumulative_credits","all_exp","all_pearls","all_credits","all_cumulative_exp","all_cumulative_pearls","all_cumulative_credits","milestone_expectation","economy_note"
"LEVEL_01","470","3","110","470","3","110","530","4","130","530","4","130","control_combo_30(可在本关完成)","建立基础资源回路"
"LEVEL_02","520","3","140","990","6","250","600","4","170","1130","8","300","survival_levels_2(稳定解锁)","进入稳定补给阶段"
"LEVEL_03","580","4","160","1570","10","410","670","5","190","1800","13","490","offense_kills_150(通常已触发)","首次Boss前资源压测"
"LEVEL_04","620","4","175","2190","14","585","710","5","205","2510","18","695","offense_kills_450(预计在L04-L05触发)","Rare掉落稳定化"
"LEVEL_05","680","5","210","2870","19","795","790","6","250","3300","24","945","survival_levels_5(稳定解锁)","中段Build成型起点"
"LEVEL_06","730","5","230","3600","24","1025","850","6","270","4150","30","1215","offense_kills_900(预计在L06-L07触发)","高压容错成本上升"
"LEVEL_07","780","5","260","4380","29","1285","910","6","310","5060","36","1525","control_combo_70(可在本关挑战达成)","终盘前构筑确认"
"LEVEL_08","830","5","280","5210","34","1565","970","6","330","6030","42","1855","Legendary首次可见(低概率)","首轮终盘收益提升"
"LEVEL_09","880","5","300","6090","39","1865","1030","6","350","7060","48","2205","survival_levels_9(稳定解锁)","终局前资源峰值校准"
"LEVEL_10","970","7","350","7060","46","2215","1130","9","410","8190","57","2615","control_combo_110(高水平可冲刺)","终局综合结算与后续周目入口"
