"level_id","scene_name","stronghold_id","sector_id","center","radius_m","entry_angle_deg","wave_window","pressure_role","base_mix","mix_profile","concurrent_cap","placement_note"
"LEVEL_01","Level_01_TrenchRift","Stronghold_01","FrontArc","(14,0,90)","6","0","W0-W3","正面拉扯","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Tank(+2)","11","主入口可见，避免与回流安全点重叠"
"LEVEL_01","Level_01_TrenchRift","Stronghold_01","LeftFlank","(2,0,76)","5","-120","W1-W4","侧翼夹击","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Rusher(+4)","9","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_01","Level_01_TrenchRift","Stronghold_01","RightFlank","(26,0,76)","5","120","W2-W5","远近混合压迫","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Ranged/Controller(+4)","9","优先放在中距掩体后，确保可读火力线"
"LEVEL_01","Level_01_TrenchRift","Stronghold_02","FrontArc","(-16,0,196)","6","0","W0-W3","正面拉扯","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Tank(+2)","13","主入口可见，避免与回流安全点重叠"
"LEVEL_01","Level_01_TrenchRift","Stronghold_02","LeftFlank","(-30,0,180)","5","-120","W1-W4","侧翼夹击","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Rusher(+4)","10","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_01","Level_01_TrenchRift","Stronghold_02","RightFlank","(-2,0,180)","5","120","W2-W5","远近混合压迫","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Ranged/Controller(+4)","10","优先放在中距掩体后，确保可读火力线"
"LEVEL_02","Level_02_WreckedStation","Stronghold_01","FrontArc","(20,0,96)","6","0","W0-W3","正面拉扯","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Tank(+2)","11","主入口可见，避免与回流安全点重叠"
"LEVEL_02","Level_02_WreckedStation","Stronghold_01","LeftFlank","(8,0,82)","5","-120","W1-W4","侧翼夹击","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Rusher(+4)","9","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_02","Level_02_WreckedStation","Stronghold_01","RightFlank","(32,0,82)","5","120","W2-W5","远近混合压迫","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Ranged/Controller(+4)","9","优先放在中距掩体后，确保可读火力线"
"LEVEL_02","Level_02_WreckedStation","Stronghold_02","FrontArc","(-10,0,190)","6","0","W0-W3","正面拉扯","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Tank(+2)","13","主入口可见，避免与回流安全点重叠"
"LEVEL_02","Level_02_WreckedStation","Stronghold_02","LeftFlank","(-24,0,174)","5","-120","W1-W4","侧翼夹击","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Rusher(+4)","10","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_02","Level_02_WreckedStation","Stronghold_02","RightFlank","(4,0,174)","5","120","W2-W5","远近混合压迫","Grunt45|Rusher25|Ranged20|Tank8|Elite2|Suicide0","Base+Ranged/Controller(+4)","10","优先放在中距掩体后，确保可读火力线"
"LEVEL_03","Level_03_ThermalVents","Stronghold_01","FrontArc","(28,0,102)","6","0","W0-W3","正面拉扯","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Tank(+2)","11","主入口可见，避免与回流安全点重叠"
"LEVEL_03","Level_03_ThermalVents","Stronghold_01","LeftFlank","(16,0,88)","5","-120","W1-W4","侧翼夹击","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Rusher(+4)","9","与FrontArc夹角>=60°，避免同轴推进"
"LEVEL_03","Level_03_ThermalVents","Stronghold_01","RightFlank","(40,0,88)","5","120","W2-W5","远近混合压迫","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Ranged/Controller(+4)","9","优先放在中距掩体后，确保可读火力线"
"LEVEL_03","Level_03_ThermalVents","Stronghold_02","FrontArc","(-6,0,192)","6","0","W0-W3","正面拉扯","Grunt35|Rusher25|Ranged15|Tank18|Elite7|Suicide0","Base+Tank(+2)","13","主入口可见，避免与回流安全点重叠"
