"level_id","scene_name","topology","path_m","expected_clear_min","target_mid_min","travel_sprint_s","travel_combat_s","lane_count","arena_count","wb_root_layout","wb_root_enemy","enemy_markers_expected","enemy_markers_actual","enemy_marker_match","strongholdA_cap_sum","strongholdB_cap_sum","strongholdC_cap_sum","bossgate_cap_sum","risk_shortcut"
"LEVEL_01","Level_01_TrenchRift","回字+斜切","423.2","30-32","31","42.3","65.1","12","5","1","1","34","34","True","35","40","29","0","A左后(补给) -> 中段短路 -> B前沿 -> C侧绕行回路"
"LEVEL_02","Level_02_WreckedStation","三角枢纽","444.9","33-35","34","44.5","68.4","12","5","1","1","34","34","True","35","40","29","0","Hub北侧高架支路(高收益箱) -> C侧绕行回路"
"LEVEL_03","Level_03_ThermalVents","双环+短路","442","37-39","38","44.2","68","12","5","1","1","40","40","True","36","41","32","20","A后侧热井短路(低血高风险) -> C侧绕行回路"
"LEVEL_04","Level_04_CoralGrove","回字+斜切","452.6","39-41","40","45.3","69.6","12","5","1","1","40","40","True","36","41","32","20","斜切通道穿越中央感染区 -> C侧绕行回路"
"LEVEL_05","Level_05_SunkenCity","8字双环","470.9","42-44","43","47.1","72.4","12","5","1","1","47","47","True","40","45","35","22","8字中节点短路(刷精英) -> C侧绕行回路"
"LEVEL_06","Level_06_BlackTidePipes","双环+短路","479.2","44-46","45","47.9","73.7","12","5","1","1","47","47","True","40","45","35","22","管线旁路(收益高/易被包夹) -> C侧绕行回路"
"LEVEL_07","Level_07_AbyssHangar","三角枢纽","491.7","47-49","48","49.2","75.6","12","5","1","1","47","47","True","40","45","35","22","三角第二边为高压捷径 -> C侧绕行回路"
"LEVEL_08","Level_08_MoltenRift","8字双环","508.2","50-52","51","50.8","78.2","12","5","1","1","63","63","True","53","69","38","36","8字环心短路(附加精英波) -> C侧绕行回路"
"LEVEL_09","Level_09_StillTideSanctum","回字+斜切(镜像)","522.6","53-55","54","52.3","80.4","12","5","1","1","64","64","True","53","70","38","37","镜像斜切走廊(高机动收益) -> C侧绕行回路"
"LEVEL_10","Level_10_HiveCore","8字双环+中心枢纽","554.2","57-59","58","55.4","85.3","12","5","1","1","64","64","True","53","71","38","38","中心枢纽双短路(高压高收益) -> C侧绕行回路"
