"run_id","timestamp","subset_label","total","passed","failed","skipped","pass_rate","source_csv"
"boss_p3_round14_setup_20260327","2026-03-27 19:24:49","behavior_depth","23","23","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_behavior_depth_gate_report.csv"
"boss_p3_round14_setup_20260327","2026-03-27 19:24:49","scene_closure","11","11","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_scene_closure_gate_report.csv"
"boss_p3_round14_setup_20260327","2026-03-27 19:24:49","grammar_consistency","3","3","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_grammar_consistency_gate_report.csv"
"boss_p3_round14_setup_20260327","2026-03-27 19:24:49","depth_aggregate","37","37","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_depth_gate_report.csv"
"20260327-194013","2026-03-27 19:40:13","behavior_depth","0","0","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_behavior_depth_gate_report.csv"
"20260327-194013","2026-03-27 19:40:13","scene_closure","2","2","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_scene_closure_gate_report.csv"
"20260327-194013","2026-03-27 19:40:13","grammar_consistency","0","0","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_grammar_consistency_gate_report.csv"
"20260327-194013","2026-03-27 19:40:13","depth_aggregate","2","2","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_depth_gate_report.csv"
"boss_p3_round14_fullboss_20260327","2026-03-27 19:45:19","behavior_depth","23","23","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_behavior_depth_gate_report.csv"
"boss_p3_round14_fullboss_20260327","2026-03-27 19:45:19","scene_closure","13","13","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_scene_closure_gate_report.csv"
"boss_p3_round14_fullboss_20260327","2026-03-27 19:45:19","grammar_consistency","3","3","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_grammar_consistency_gate_report.csv"
"boss_p3_round14_fullboss_20260327","2026-03-27 19:45:19","depth_aggregate","39","39","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_depth_gate_report.csv"
"20260330-182323","2026-03-30 18:23:23","behavior_depth","25","25","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_behavior_depth_gate_report.csv"
"20260330-182323","2026-03-30 18:23:23","scene_closure","13","13","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_scene_closure_gate_report.csv"
"20260330-182323","2026-03-30 18:23:23","grammar_consistency","3","3","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_grammar_consistency_gate_report.csv"
"20260330-182323","2026-03-30 18:23:23","depth_aggregate","41","41","0","0","1","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p3_boss_depth_gate_report.csv"
