"run_id","timestamp","step_label","avg_fps","p95_frame_ms","p99_frame_ms","avg_gc_alloc_bytes_per_frame","p95_gc_alloc_bytes_per_frame","avg_ai_decisions_per_s","avg_active_enemies","avg_active_projectiles","p95_active_projectiles","avg_active_damage_texts","p95_active_damage_texts","avg_active_particles","p95_active_particles"
"20260326-140643","2026-03-26 14:06:43","P4_LONG_100_R1","344.641","6.632","8.845","0","0","416.487","106","0","0","0","0","0","0"
"20260326-140643","2026-03-26 14:06:43","P4_LONG_100_R2","337.502","6.647","8.994","0","0","397.731","101","0","0","0","0","0","0"
"20260326-140643","2026-03-26 14:06:43","P4_LONG_150_R1","184.35","10.735","15.04","0","0","679.873","175","0","0","0","0","0","0"
"20260326-140643","2026-03-26 14:06:43","P4_LONG_150_R2","202.58","10.45","13.916","0","0","626.923","161","0","0","0","0","0","0"
"20260326-145434","2026-03-26 14:54:34","P4_LONG_100_R1","403.647","5.42","7.479","0","0","418.538","106","0","0","0","0","0","0"
"20260326-145434","2026-03-26 14:54:34","P4_LONG_100_R2","308.221","7.187","9.957","0","0","396.941","101","0","0","0","0","0","0"
"20260326-145434","2026-03-26 14:54:34","P4_LONG_150_R1","178.549","10.739","14.739","0","0","679.484","175","0","0","0","0","0","0"
"20260326-145434","2026-03-26 14:54:34","P4_LONG_150_R2","205.755","10.25","12.296","0","0","628.23","161","0","0","0","0","0","0"
"20260330-182319","2026-03-30 18:23:19","P4_LONG_100_R1","561.319","2.374","3.468","0","0","416.977","106","0","0","0","0","0","0"
"20260330-182319","2026-03-30 18:23:19","P4_LONG_100_R2","558.821","2.508","5.322","0","0","397.5","101","0","0","0","0","0","0"
"20260330-182319","2026-03-30 18:23:19","P4_LONG_150_R1","419.063","3.371","7.821","0","0","685.421","175","0","0","0","0","0","0"
"20260330-182319","2026-03-30 18:23:19","P4_LONG_150_R2","429.099","3.248","7.769","0","0","631.05","161","0","0","0","0","0","0"
