"asset_path","archetype","field","current_value","round1_value","note"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","chaseSpeed","4.0","4.1","维持密度压力，轻微提速"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","stoppingDistance","1.4","1.35","减少贴脸抖动"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","attackCooldown","1.55","1.5","提升基础压迫连续性"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","attackWindup","0.4","0.38","提高出手响应"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","attackRecovery","0.5","0.46","减少空窗"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","ringStandoffDistance","2.2","2.2","保持围攻圈稳定"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","canDodge","false","false","杂兵不启用高级机动"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","dodgeChance","0.05","0.02","进一步降低随机规避"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","canBlock","false","false","杂兵不启用格挡"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","blockChance","0.05","0.02","避免误触发"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","canCharge","false","false","冲锋留给突击/精英"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","chargeChance","0.2(脚本默认)","0","显式归零"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","Grunt","canFlee","false","false","维持正面压力"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","chaseSpeed","5.8","6.0","强化追击压迫"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","stoppingDistance","0.95","0.9","更贴身"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","attackCooldown","1.1","1.0","提高持续出手"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","attackWindup","0.25","0.22","强化抢手感"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","attackRecovery","0.35","0.32","连压更紧"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","Rusher","ringStandoffDistance","1.6","1.5","缩圈压迫"
