layer,asset,key,status,value,note
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,enemyExpMultiplier,Ok,1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,levelExpMultiplier,Ok,1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,questExpMultiplier,Ok,1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,pearlDropMultiplier,Ok,1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,levelPearlMultiplier,Ok,1.2,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,questPearlMultiplier,Ok,1.1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,levelCreditMultiplier,Ok,1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,questCreditMultiplier,Ok,1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,shopPriceMultiplier,Ok,1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,killsPerTalentPoint,Ok,120,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,pointsPerKillMilestone,Ok,1,within_range
Scalar,Assets/GameDesign/Data/EconomyConfig_Sample.asset,pointsPerStageClear,Ok,1,within_range
Table,Assets/GameDesign/Data/EconomyConfig_Sample.asset,levelExpDifficultyMultipliers,Ok,len=5,table_ok
Table,Assets/GameDesign/Data/EconomyConfig_Sample.asset,levelPearlDifficultyMultipliers,Ok,len=5,table_ok
Table,Assets/GameDesign/Data/EconomyConfig_Sample.asset,levelCreditDifficultyMultipliers,Ok,len=5,table_ok
Table,Assets/GameDesign/Data/EconomyConfig_Sample.asset,questExpDifficultyMultipliers,Ok,len=5,table_ok
Table,Assets/GameDesign/Data/EconomyConfig_Sample.asset,questPearlDifficultyMultipliers,Ok,len=5,table_ok
Table,Assets/GameDesign/Data/EconomyConfig_Sample.asset,questCreditDifficultyMultipliers,Ok,len=5,table_ok
Table,Assets/GameDesign/Data/EconomyConfig_Sample.asset,dropChanceDifficultyMultipliers,Ok,len=5,table_ok
Table,Assets/GameDesign/Data/EconomyConfig_Sample.asset,shopPriceDifficultyMultipliers,Ok,len=5,table_ok
Summary,Assets/GameDesign/Data/EconomyConfig_Sample.asset,config.summary,Ok,blocking=0;fixed=0,done
