scope,target,field,current,expected,status,note
ScriptDefault,QuickEnemySpawner,spawnKey,G,G,OK,
ScriptDefault,QuickEnemySpawner,stressSpawnKey,F8,F8,OK,
ScriptDefault,QuickEnemySpawner,clearKey,Delete,Delete,OK,
ScriptDefault,UI_TalentEquipmentOverlay,toggleKey,U,U,OK,
ScriptDefault,UI_HudHints,toggleKey,H,H,OK,
ScriptDefault,UI_HudHints,economyKey,Y,Y,OK,
ScriptDefault,UI_HudHints,talentKey,U,U,OK,
ScriptDefault,ComboDebugger,statusKey,Tab,Tab,OK,
ScriptDefault,ComboDebugger,resetHintKey,F7,F7,OK,
ScriptDefault,PlayerInputHandler,skill3Key,C,C,OK,
ScriptDefault,SkillManager,skillKeys[2],C,C,OK,
ScriptDefault,UI_SkillBar,keyBindings[2],C,C,OK,
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,Skill3KeyboardBinding,True,True,OK,"skillActions[2].AddBinding(""<Keyboard>/c"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,ToggleTalentKeyboardBinding,True,True,OK,"toggleTalentAction.AddBinding(""<Keyboard>/u"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,ToggleEconomyKeyboardBinding,True,True,OK,"toggleEconomyAction.AddBinding(""<Keyboard>/y"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,ToggleHintsKeyboardBinding,True,True,OK,"toggleHintsAction.AddBinding(""<Keyboard>/h"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,DebugComboStatusKeyboardBinding,True,True,OK,"debugComboStatusAction.AddBinding(""<Keyboard>/tab"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,DebugComboResetKeyboardBinding,True,True,OK,"debugComboResetHintAction.AddBinding(""<Keyboard>/f7"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,DebugSpawnerWaveKeyboardBinding,True,True,OK,"debugSpawnerWaveAction.AddBinding(""<Keyboard>/g"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,DebugSpawnerStressKeyboardBinding,True,True,OK,"debugSpawnerStressAction.AddBinding(""<Keyboard>/f8"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,DebugSpawnerClearKeyboardBinding,True,True,OK,"debugSpawnerClearAction.AddBinding(""<Keyboard>/delete"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,WhitelistMenuRetrySkill4,True,True,OK,"BuildConflictWhitelistKey(""<keyboard>/r"", ""Gameplay.MenuRetry"", ""Gameplay.Skill4""),"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,WhitelistEscapeMenu,True,True,OK,"BuildConflictWhitelistKey(""<keyboard>/escape"", ""Gameplay.MenuCancel"", ""Gameplay.QuitMenu""),"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,LegacySkill3KeyboardBinding,False,False,OK,"skillActions[2].AddBinding(""<Keyboard>/e"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,LegacyToggleTalentKeyboardBinding,False,False,OK,"toggleTalentAction.AddBinding(""<Keyboard>/t"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,LegacyDebugComboResetKeyboardBinding,False,False,OK,"debugComboResetHintAction.AddBinding(""<Keyboard>/r"");"
Source,Assets/ThirdPersonController/Scripts/Player/PlayerInputHandler.cs,LegacyDebugSpawnerStressKeyboardBinding,False,False,OK,"debugSpawnerStressAction.AddBinding(""<Keyboard>/h"");"
Whitelist,PlayerInputHandler,"Contains(MenuRetry,Skill4)",True,True,OK,
Whitelist,PlayerInputHandler,"Contains(MenuCancel,QuitMenu)",True,True,OK,
Whitelist,PlayerInputHandler,WhitelistCount,2,2,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:GameObject,QuickEnemySpawner.spawnKey,G,G,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:GameObject,QuickEnemySpawner.stressSpawnKey,F8,F8,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:GameObject,QuickEnemySpawner.clearKey,Delete,Delete,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:ProgressionUI,UI_TalentEquipmentOverlay.toggleKey,U,U,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:Meshy_AI_Animation_Walking_frame_rate_60,PlayerInputHandler.skill3Key,C,C,OK,
Scene,Assets/Scenes/Level_01_TrenchRift.unity:MainCanvas/SkillBar,UI_SkillBar.keyBindings[2],C,C,OK,
Scene,Assets/Scenes/SampleScene_Template.unity:GameObject,QuickEnemySpawner.spawnKey,G,G,OK,
Scene,Assets/Scenes/SampleScene_Template.unity:GameObject,QuickEnemySpawner.stressSpawnKey,F8,F8,OK,
Scene,Assets/Scenes/SampleScene_Template.unity:GameObject,QuickEnemySpawner.clearKey,Delete,Delete,OK,
Scene,Assets/Scenes/SampleScene_Template.unity:ProgressionUI,UI_TalentEquipmentOverlay.toggleKey,U,U,OK,
Scene,Assets/Scenes/SampleScene_Template.unity:Meshy_AI_Animation_Walking_frame_rate_60,PlayerInputHandler.skill3Key,C,C,OK,
Scene,Assets/Scenes/SampleScene_Template.unity:MainCanvas/SkillBar,UI_SkillBar.keyBindings[2],C,C,OK,
