level_id,level_asset,scene_name,scene_path,status,build_index,fixed,blocking_errors,warnings,strongholds,total_waves,player_anchor,note
LEVEL_01,Assets/GameDesign/Data/LevelData_Level01.asset,Level_01_TrenchRift,Assets/Scenes/Level_01_TrenchRift.unity,Ok,1,0,0,0,3,14,PlayerCombat,
LEVEL_02,Assets/GameDesign/Data/LevelData_Level02.asset,Level_02_WreckedStation,Assets/Scenes/Level_02_WreckedStation.unity,Ok,3,0,0,0,3,14,PlayerCombat,
LEVEL_03,Assets/GameDesign/Data/LevelData_Level03.asset,Level_03_ThermalVents,Assets/Scenes/Level_03_ThermalVents.unity,Ok,4,0,0,0,3,14,PlayerCombat,
LEVEL_04,Assets/GameDesign/Data/LevelData_Level04.asset,Level_04_CoralGrove,Assets/Scenes/Level_04_CoralGrove.unity,Ok,5,0,0,0,3,14,PlayerCombat,
LEVEL_05,Assets/GameDesign/Data/LevelData_Level05.asset,Level_05_SunkenCity,Assets/Scenes/Level_05_SunkenCity.unity,Ok,6,0,0,0,3,14,PlayerCombat,
LEVEL_06,Assets/GameDesign/Data/LevelData_Level06.asset,Level_06_BlackTidePipes,Assets/Scenes/Level_06_BlackTidePipes.unity,Ok,7,0,0,0,3,14,PlayerCombat,
LEVEL_07,Assets/GameDesign/Data/LevelData_Level07.asset,Level_07_AbyssHangar,Assets/Scenes/Level_07_AbyssHangar.unity,Ok,8,0,0,0,3,14,PlayerCombat,
LEVEL_08,Assets/GameDesign/Data/LevelData_Level08.asset,Level_08_MoltenRift,Assets/Scenes/Level_08_MoltenRift.unity,Ok,9,0,0,0,3,14,PlayerCombat,
LEVEL_09,Assets/GameDesign/Data/LevelData_Level09.asset,Level_09_StillTideSanctum,Assets/Scenes/Level_09_StillTideSanctum.unity,Ok,10,0,0,0,3,14,PlayerCombat,
LEVEL_10,Assets/GameDesign/Data/LevelData_Level10.asset,Level_10_HiveCore,Assets/Scenes/Level_10_HiveCore.unity,Ok,2,0,0,0,3,14,PlayerCombat,
