layer,key,status,source_count,sources,zh_cn,en_us,note
Reference,boss.break_window,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossCombatTemplate.cs,鐮撮槻绐楀彛,Break Window,referenced_and_resolved
Reference,boss.defeated,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossController.cs,首已击,BOSS DEFEATED!,referenced_and_resolved
Reference,boss.phase2,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossCombatTemplate.cs,首进入二阶,Boss Phase 2,referenced_and_resolved
Reference,boss.phase_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossController.cs,阶段 {0}：{1}！,PHASE {0}: {1}!,referenced_and_resolved
Reference,boss.skill_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossCombatTemplate.cs,首领技能：{0},Boss Skill: {0},referenced_and_resolved
Reference,ui.economy_overlay.bind_slot_format,Ok,4,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,绑定 {0},Bind {0},referenced_and_resolved
Reference,ui.economy_overlay.buy_button_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,璐拱 ({0}),Buy ({0}),referenced_and_resolved
Reference,ui.economy_overlay.catalog_empty,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,暂无消品,No consumables available.,referenced_and_resolved
Reference,ui.economy_overlay.catalog_title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,消品,Consumables,referenced_and_resolved
Reference,ui.economy_overlay.clear_button,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,清空,Clear,referenced_and_resolved
Reference,ui.economy_overlay.close_hint_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,{0} 关闭,Press {0} to Close,referenced_and_resolved
Reference,ui.economy_overlay.credits_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,积分：{0},Credits: {0},referenced_and_resolved
Reference,ui.economy_overlay.quick_slot_entry_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,妲戒綅{0}: {1} x{2},{0}: {1} x{2},referenced_and_resolved
Reference,ui.economy_overlay.quick_slot_hint_default,Ok,4,Assets/Editor/LocalizationCoverageGateValidator.cs | Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,1/2/3,1/2/3,referenced_and_resolved
Reference,ui.economy_overlay.quick_slots_missing,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,未找到快捷栏组件。,Quick-slot component not found.,referenced_and_resolved
Reference,ui.economy_overlay.quick_slots_title_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,蹇嵎浣跨敤 ({0}),Quick Use ({0}),referenced_and_resolved
Reference,ui.economy_overlay.title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,淇℃伅,Info,referenced_and_resolved
Reference,ui.economy_overlay.use_button,Ok,3,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs,浣跨敤,Use,referenced_and_resolved
Reference,ui.hud_hints.economy_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs,{0} 琛ョ粰/鍟嗗簵,{0} Supply/Shop,referenced_and_resolved
Reference,ui.hud_hints.none,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs,暂无提示,No hints.,referenced_and_resolved
Reference,ui.hud_hints.quick_slots_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs,{0}/{1}/{2} 蹇嵎浣跨敤,{0}/{1}/{2} Quick Use,referenced_and_resolved
Reference,ui.hud_hints.talent_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs,{0} 天赋/装,{0} Talent/Equipment,referenced_and_resolved
Reference,ui.hud_hints.title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs,操作提示,Controls,referenced_and_resolved
Reference,ui.level.complete_title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs,鍏冲崱瀹屾垚,LEVEL COMPLETE!,referenced_and_resolved
Reference,ui.level.exp_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs,+{0} 经验,+{0} EXP,referenced_and_resolved
Reference,ui.level.failed_title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs,鍏冲崱澶辫触,LEVEL FAILED,referenced_and_resolved
Reference,ui.level.menu.exit_to_main,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowController.cs,返回主菜,Exit to Main Menu,referenced_and_resolved
Reference,ui.level.menu.resume,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowController.cs,继续,Resume,referenced_and_resolved
Reference,ui.level.pearls_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs,+{0} 珍珠,+{0} Pearls,referenced_and_resolved
Reference,ui.level.time_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs,用时：{0:00}:{1:00},Time: {0:00}:{1:00},referenced_and_resolved
Reference,ui.level.times_up,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowController.cs,时间到！,Time's Up!,referenced_and_resolved
Reference,ui.level_flow.objective.clear_strongholds,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs,清除有据,Clear all strongholds,referenced_and_resolved
