layer,key,status,ref_count,note,sources
Reference,ui.level.times_up,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowController.cs
Reference,ui.level.menu.resume,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowController.cs
Reference,ui.level.menu.exit_to_main,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowController.cs
Reference,ui.level_flow.objective.clear_strongholds,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.objective.complete_quests_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.objective.time_limit_minutes_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.objective.score_target_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.objective.none,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.prep.missing_talent_overlay,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.prep.start_button,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.victory_title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.defeat_title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.rewards_title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.credits_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.pearls_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.talent_points_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.stats_title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.kills_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.combo_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.time_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.progress_title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.level_flow.result.continue_button,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
