"level_id","stronghold_order_has_s3","layout_blueprint_has_c","wave_rows_s1","wave_rows_s2","wave_rows_s3","wave_empty_event_type","leveldata_stronghold03_mentions","status","note"
"LEVEL_01","True","True","4","5","5","0","2","Pass",""
"LEVEL_02","True","True","5","5","5","0","2","Pass",""
"LEVEL_03","True","True","4","4","4","0","2","Pass",""
"LEVEL_04","True","True","5","5","5","0","2","Pass",""
"LEVEL_05","True","True","4","5","5","0","2","Pass",""
"LEVEL_06","True","True","4","5","5","0","2","Pass",""
"LEVEL_07","True","True","4","5","5","0","2","Pass",""
"LEVEL_08","True","True","4","5","5","0","2","Pass",""
"LEVEL_09","True","True","4","5","5","0","2","Pass",""
"LEVEL_10","True","True","4","5","5","0","2","Pass",""
