"name","fullname","result","duration"
"StrongholdSequence_BossDefeatedFirst_CompletesAfterStrongholdChain","ThirdPersonController.Tests.BossEncounterClosureRegressionTests.StrongholdSequence_BossDefeatedFirst_CompletesAfterStrongholdChain","Passed","0.004033"
"StrongholdSequence_BossDefeatEventStorm_CompletesOnlyOnce","ThirdPersonController.Tests.BossEncounterClosureRegressionTests.StrongholdSequence_BossDefeatEventStorm_CompletesOnlyOnce","Passed","0.001523"
"StrongholdSequence_BossGate_WaitsForBossBeforeCompletion","ThirdPersonController.Tests.BossEncounterClosureRegressionTests.StrongholdSequence_BossGate_WaitsForBossBeforeCompletion","Passed","0.001837"
"StrongholdSequence_ConfigureBossGate_RebindsWithoutDuplicateHandlers","ThirdPersonController.Tests.BossEncounterClosureRegressionTests.StrongholdSequence_ConfigureBossGate_RebindsWithoutDuplicateHandlers","Passed","0.000608"
"StrongholdSequence_ConfigureStrongholds_RebindsWithoutDuplicateHandlers","ThirdPersonController.Tests.BossEncounterClosureRegressionTests.StrongholdSequence_ConfigureStrongholds_RebindsWithoutDuplicateHandlers","Passed","0.000776"
"LevelFlowUI_ContinueFromResult_DefeatDoesNotMarkLevelComplete","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ContinueFromResult_DefeatDoesNotMarkLevelComplete","Passed","0.005272"
"LevelFlowUI_ContinueFromResult_IgnoresLateTerminalEventsAfterActionConsumed","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ContinueFromResult_IgnoresLateTerminalEventsAfterActionConsumed","Passed","0.004746"
"LevelFlowUI_ContinueFromResult_PauseEnabled_RestoresTimeAndCursor_WhenSceneLoadSuppressed","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ContinueFromResult_PauseEnabled_RestoresTimeAndCursor_WhenSceneLoadSuppressed","Passed","0.003880"
"LevelFlowUI_ContinueFromResult_VictoryMarksLevelCompleteOnlyOnce","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ContinueFromResult_VictoryMarksLevelCompleteOnlyOnce","Passed","0.004142"
"LevelFlowUI_ContinueFromResult_WritesSaveToIsolatedPath","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ContinueFromResult_WritesSaveToIsolatedPath","Passed","0.031308"
"LevelFlowUI_ResultActions_ReopenPanel_ResetsOneShotGate","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ResultActions_ReopenPanel_ResetsOneShotGate","Passed","0.005086"
"LevelFlowUI_ResultActions_WhenPanelClosed_AreIgnored","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ResultActions_WhenPanelClosed_AreIgnored","Passed","0.004282"
"LevelFlowUI_ResultHint_FallsBackToFriendlyKeysWithoutInputHandler","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ResultHint_FallsBackToFriendlyKeysWithoutInputHandler","Passed","0.001371"
"LevelFlowUI_ResultHint_UsesUnifiedActionLabels","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ResultHint_UsesUnifiedActionLabels","Passed","0.003601"
"LevelFlowUI_ResultState_EventStorm_DoesNotOverrideOutcomeOrRecacheSnapshot","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ResultState_EventStorm_DoesNotOverrideOutcomeOrRecacheSnapshot","Passed","0.020453"
"LevelFlowUI_ResultState_GameOverThenPlayerDeath_KeepsInitialVictoryState","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ResultState_GameOverThenPlayerDeath_KeepsInitialVictoryState","Passed","0.001915"
"LevelFlowUI_ResultState_PlayerDeathThenGameOver_KeepsInitialDefeatState","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ResultState_PlayerDeathThenGameOver_KeepsInitialDefeatState","Passed","0.001554"
"LevelFlowUI_RetryFromResult_DoesNotWriteSaveToIsolatedPath","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_RetryFromResult_DoesNotWriteSaveToIsolatedPath","Passed","0.009041"
"LevelFlowUI_RetryFromResult_IgnoresLateTerminalEventsAfterActionConsumed","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_RetryFromResult_IgnoresLateTerminalEventsAfterActionConsumed","Passed","0.007118"
"LevelFlowUI_RetryFromResult_PauseEnabled_RestoresTimeAndCursor_WhenSceneLoadSuppressed","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_RetryFromResult_PauseEnabled_RestoresTimeAndCursor_WhenSceneLoadSuppressed","Passed","0.004687"
"LevelFlowUI_RetryFromResult_ReloadsActiveSceneWithoutCompletion","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_RetryFromResult_ReloadsActiveSceneWithoutCompletion","Passed","0.004342"
"LevelFlowUI_ShowResult_PauseEnabled_FreezesTimeAndUnlocksCursor","ThirdPersonController.Tests.BossResultFlowClosureRegressionTests.LevelFlowUI_ShowResult_PauseEnabled_FreezesTimeAndUnlocksCursor","Passed","0.001963"
