"name","fullname","result","duration"
"EconomyService_P1MidLateRound15_DifficultyOverflow_ClampsToConfiguredLateTier","ThirdPersonController.Tests.QuestEconomyP1MidLateRound15RegressionTests.EconomyService_P1MidLateRound15_DifficultyOverflow_ClampsToConfiguredLateTier","Passed","0.001673"
"EconomyService_P1MidLateRound15_LongChainIncomePressure_StaysInPlayableBand","ThirdPersonController.Tests.QuestEconomyP1MidLateRound15RegressionTests.EconomyService_P1MidLateRound15_LongChainIncomePressure_StaysInPlayableBand","Passed","0.002373"
"QuestSystem_P1MidLateRound15_LongChainFailureRecovery_AccumulatesOnlySuccessfulRewards","ThirdPersonController.Tests.QuestEconomyP1MidLateRound15RegressionTests.QuestSystem_P1MidLateRound15_LongChainFailureRecovery_AccumulatesOnlySuccessfulRewards","Passed","0.011011"
"EconomyService_P1MidLateCurve_QuestAndLevelIncome_IncreasesFromMidToLateGame","ThirdPersonController.Tests.QuestEconomyP1MidLateSimulationRegressionTests.EconomyService_P1MidLateCurve_QuestAndLevelIncome_IncreasesFromMidToLateGame","Passed","0.002554"
"EconomyService_P1MidLateCurve_RewardToShopPressure_StaysInPlayableBand","ThirdPersonController.Tests.QuestEconomyP1MidLateSimulationRegressionTests.EconomyService_P1MidLateCurve_RewardToShopPressure_StaysInPlayableBand","Passed","0.000763"
"EconomyService_P1MidLateCurve_UnknownChapterStronghold_FallsBackToNeutralMultiplier","ThirdPersonController.Tests.QuestEconomyP1MidLateSimulationRegressionTests.EconomyService_P1MidLateCurve_UnknownChapterStronghold_FallsBackToNeutralMultiplier","Passed","0.000541"
"QuestSystem_P1MidLateSimulation_CompletedQuest_DoesNotPayRewardTwice","ThirdPersonController.Tests.QuestEconomyP1MidLateSimulationRegressionTests.QuestSystem_P1MidLateSimulation_CompletedQuest_DoesNotPayRewardTwice","Passed","0.004447"
"QuestSystem_P1MidLateSimulation_CompletionChain_AccumulatesExpectedRewards","ThirdPersonController.Tests.QuestEconomyP1MidLateSimulationRegressionTests.QuestSystem_P1MidLateSimulation_CompletionChain_AccumulatesExpectedRewards","Passed","0.006971"
"EconomyService_Round16_MidLateRecoveryWindow_VersusChallengeRoute_RemainsBalanced","ThirdPersonController.Tests.QuestFailureEconomyRound16RegressionTests.EconomyService_Round16_MidLateRecoveryWindow_VersusChallengeRoute_RemainsBalanced","Passed","0.003936"
"QuestSystem_Round16_FailureLearningCurve_RecoveryChain_IsStableAndFair","ThirdPersonController.Tests.QuestFailureEconomyRound16RegressionTests.QuestSystem_Round16_FailureLearningCurve_RecoveryChain_IsStableAndFair","Passed","0.006993"
"EconomyService_Round17_FailureDebtAndRecoveryWindow_MidLateBand_IsControlled","ThirdPersonController.Tests.QuestFailureEconomyRound17RegressionTests.EconomyService_Round17_FailureDebtAndRecoveryWindow_MidLateBand_IsControlled","Passed","0.002909"
"QuestSystem_Round17_FailurePath_DoesNotAutoChain_RecoveryCompletionAutoChainsFollowup","ThirdPersonController.Tests.QuestFailureEconomyRound17RegressionTests.QuestSystem_Round17_FailurePath_DoesNotAutoChain_RecoveryCompletionAutoChainsFollowup","Passed","0.004295"
"EconomyService_Round18_FailureTypeByChapterRecoveryDebtMatrix_RemainsRecoverable","ThirdPersonController.Tests.QuestFailureEconomyRound18RegressionTests.EconomyService_Round18_FailureTypeByChapterRecoveryDebtMatrix_RemainsRecoverable","Passed","0.003284"
"QuestSystem_Round18_FailureTypeByChapterMatrix_TriggersNativeFailPaths_AndKeepsRecoveryWindowPlayable","ThirdPersonController.Tests.QuestFailureEconomyRound18RegressionTests.QuestSystem_Round18_FailureTypeByChapterMatrix_TriggersNativeFailPaths_AndKeepsRecoveryWindowPlayable","Passed","0.012607"
"EconomyService_Round19_FailureTypeByChapterRecoveryDebtMatrix_RemainsRecoverable","ThirdPersonController.Tests.QuestFailureEconomyRound19RegressionTests.EconomyService_Round19_FailureTypeByChapterRecoveryDebtMatrix_RemainsRecoverable","Passed","0.005614"
"QuestSystem_Round19_FailureTypeByChapterMatrix_TriggersNativeFailPaths_AndKeepsRecoveryWindowPlayable","ThirdPersonController.Tests.QuestFailureEconomyRound19RegressionTests.QuestSystem_Round19_FailureTypeByChapterMatrix_TriggersNativeFailPaths_AndKeepsRecoveryWindowPlayable","Passed","0.013629"
"EconomyService_Round20_ConsecutiveFailureDebtCurve_RemainsRecoverableWithinRunsBudget","ThirdPersonController.Tests.QuestFailureEconomyRound20RegressionTests.EconomyService_Round20_ConsecutiveFailureDebtCurve_RemainsRecoverableWithinRunsBudget","Passed","0.003426"
"QuestSystem_Round20_ConsecutiveFailures_ByRuleAndChapter_OnlyRecoveryPays_AndWindowStaysPlayable","ThirdPersonController.Tests.QuestFailureEconomyRound20RegressionTests.QuestSystem_Round20_ConsecutiveFailures_ByRuleAndChapter_OnlyRecoveryPays_AndWindowStaysPlayable","Passed","0.012211"
"EconomyService_Round21_CrossChapterCompensationPacing_DebtWindowRemainsRecoverable","ThirdPersonController.Tests.QuestFailureEconomyRound21RegressionTests.EconomyService_Round21_CrossChapterCompensationPacing_DebtWindowRemainsRecoverable","Passed","0.003353"
"QuestSystem_Round21_CrossChapterFailureStreak_CompensationPacing_OnlyRecoveryPays","ThirdPersonController.Tests.QuestFailureEconomyRound21RegressionTests.QuestSystem_Round21_CrossChapterFailureStreak_CompensationPacing_OnlyRecoveryPays","Passed","0.010280"
