"name","fullname","result","duration"
"LocalizationPseudoLocalizer_DefaultTable_CoreUiKeys_ArePseudoLocReady","ThirdPersonController.Tests.LocalizationQualityGateTests.LocalizationPseudoLocalizer_DefaultTable_CoreUiKeys_ArePseudoLocReady","Passed","0.001620"
"LocalizationPseudoLocalizer_PreservesFormatTokens_AndExpandsText","ThirdPersonController.Tests.LocalizationQualityGateTests.LocalizationPseudoLocalizer_PreservesFormatTokens_AndExpandsText","Passed","0.000433"
"LocalizationTableAudit_DefaultTable_CoreZhDiffersFromEnglish","ThirdPersonController.Tests.LocalizationQualityGateTests.LocalizationTableAudit_DefaultTable_CoreZhDiffersFromEnglish","Passed","0.001034"
"LocalizationTableAudit_DefaultTable_HasNoBlockingIssues","ThirdPersonController.Tests.LocalizationQualityGateTests.LocalizationTableAudit_DefaultTable_HasNoBlockingIssues","Passed","0.002983"
"LocalizationTableAudit_MojibakeSequence_IsReportedAsSuspiciousChineseEncoding","ThirdPersonController.Tests.LocalizationQualityGateTests.LocalizationTableAudit_MojibakeSequence_IsReportedAsSuspiciousChineseEncoding","Passed","0.000789"
"LocalizationService_DefaultTable_Contains_CoreUiKeys","ThirdPersonController.Tests.LocalizationServiceRegressionTests.LocalizationService_DefaultTable_Contains_CoreUiKeys","Passed","0.000709"
"LocalizationService_MissingCurrentLanguage_FallsBackToEnglish_AndRaisesAudit","ThirdPersonController.Tests.LocalizationServiceRegressionTests.LocalizationService_MissingCurrentLanguage_FallsBackToEnglish_AndRaisesAudit","Passed","0.001482"
"LocalizationService_PseudoLanguage_FallsBackToChineseWhenEnglishMissing","ThirdPersonController.Tests.LocalizationServiceRegressionTests.LocalizationService_PseudoLanguage_FallsBackToChineseWhenEnglishMissing","Passed","0.001601"
"LocalizationService_PseudoLanguage_UsesPseudoLocalizerOnEnglishSource","ThirdPersonController.Tests.LocalizationServiceRegressionTests.LocalizationService_PseudoLanguage_UsesPseudoLocalizerOnEnglishSource","Passed","0.000650"
"LocalizationService_SwitchLanguage_AndFallback_Works","ThirdPersonController.Tests.LocalizationServiceRegressionTests.LocalizationService_SwitchLanguage_AndFallback_Works","Passed","0.001208"
"SaveManager_Settings_PersistLocalizationLanguage","ThirdPersonController.Tests.LocalizationServiceRegressionTests.SaveManager_Settings_PersistLocalizationLanguage","Passed","0.023338"
