"name","fullname","result","duration"
"SteamCloudSaveBridge_NewestPriority_DownloadsCloudWhenCloudTimestampNewer","ThirdPersonController.Tests.SteamCloudSaveBridgeRegressionTests.SteamCloudSaveBridge_NewestPriority_DownloadsCloudWhenCloudTimestampNewer","Passed","0.021689"
"SteamCloudSaveBridge_NewestPriority_UploadsLocalWhenLocalTimestampNewer","ThirdPersonController.Tests.SteamCloudSaveBridgeRegressionTests.SteamCloudSaveBridge_NewestPriority_UploadsLocalWhenLocalTimestampNewer","Passed","0.025104"
"SteamCloudSaveBridge_PullSettings_AppliesLocalizationLanguage","ThirdPersonController.Tests.SteamCloudSaveBridgeRegressionTests.SteamCloudSaveBridge_PullSettings_AppliesLocalizationLanguage","Passed","0.033002"
"SteamCloudSaveBridge_PushToCloud_UploadsLocalSaveFile","ThirdPersonController.Tests.SteamCloudSaveBridgeRegressionTests.SteamCloudSaveBridge_PushToCloud_UploadsLocalSaveFile","Passed","0.006025"
"SteamCloudSaveBridge_TryPullFromCloud_DownloadsMissingLocalSave","ThirdPersonController.Tests.SteamCloudSaveBridgeRegressionTests.SteamCloudSaveBridge_TryPullFromCloud_DownloadsMissingLocalSave","Passed","0.008329"
"SteamIntegrationBootstrap_Bootstrap_AppliesResolvedConfigToServiceAndTrackers","ThirdPersonController.Tests.SteamIntegrationBootstrapRegressionTests.SteamIntegrationBootstrap_Bootstrap_AppliesResolvedConfigToServiceAndTrackers","Passed","0.004258"
"SteamAchievementTracker_ApplyConfig_MapsEnableFlag","ThirdPersonController.Tests.SteamIntegrationConfigRegressionTests.SteamAchievementTracker_ApplyConfig_MapsEnableFlag","Passed","0.004735"
"SteamCloudSaveBridge_ApplyConfig_MapsCloudSettings","ThirdPersonController.Tests.SteamIntegrationConfigRegressionTests.SteamCloudSaveBridge_ApplyConfig_MapsCloudSettings","Passed","0.001168"
"SteamStatsTracker_ApplyConfig_MapsEnableAndFlushInterval","ThirdPersonController.Tests.SteamIntegrationConfigRegressionTests.SteamStatsTracker_ApplyConfig_MapsEnableAndFlushInterval","Passed","0.001222"
"SteamIntegrationService_ApplyConfig_UpdatesServiceFlags","ThirdPersonController.Tests.SteamIntegrationStatusRegressionTests.SteamIntegrationService_ApplyConfig_UpdatesServiceFlags","Passed","0.000835"
"SteamIntegrationService_RefreshRuntimeStatus_EmitsStateChange","ThirdPersonController.Tests.SteamIntegrationStatusRegressionTests.SteamIntegrationService_RefreshRuntimeStatus_EmitsStateChange","Passed","0.002345"
"SteamIntegrationService_RuntimeStatus_MatchesCurrentServiceFlags","ThirdPersonController.Tests.SteamIntegrationStatusRegressionTests.SteamIntegrationService_RuntimeStatus_MatchesCurrentServiceFlags","Passed","0.001141"
"SteamIntegrationService_RuntimeStatus_RequireCloud_WithUnavailableCloud_IsInvalid","ThirdPersonController.Tests.SteamIntegrationStatusRegressionTests.SteamIntegrationService_RuntimeStatus_RequireCloud_WithUnavailableCloud_IsInvalid","Passed","0.001116"
"SteamIntegrationService_RuntimeStatus_RequireRealBackend_WithRealClient_IsValid","ThirdPersonController.Tests.SteamIntegrationStatusRegressionTests.SteamIntegrationService_RuntimeStatus_RequireRealBackend_WithRealClient_IsValid","Passed","0.000483"
"SteamIntegrationService_RuntimeStatus_RequireRealBackend_WithStub_IsInvalid","ThirdPersonController.Tests.SteamIntegrationStatusRegressionTests.SteamIntegrationService_RuntimeStatus_RequireRealBackend_WithStub_IsInvalid","Passed","0.001884"
