"name","fullname","result","duration"
"BossScenes03To10_LowFpsJitter_RebindStormAndInterruptions_BossGateRemainsStable","ThirdPersonController.Tests.BossChaosStressRegressionTests.BossScenes03To10_LowFpsJitter_RebindStormAndInterruptions_BossGateRemainsStable","Passed","3.251853"
"BossScenes03To10_ReentryShuffle_BossDefeatEventStorm_RemainsSingleCompletionState","ThirdPersonController.Tests.BossChaosStressRegressionTests.BossScenes03To10_ReentryShuffle_BossDefeatEventStorm_RemainsSingleCompletionState","Passed","1.523318"
"BossCombatTemplate_SelectSkill_PrefersInRangeSkill","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossCombatTemplate_SelectSkill_PrefersInRangeSkill","Passed","0.007883"
"BossController_AttackPlanning_DistanceWeightingAvoidsOutOfRangeSpam","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_AttackPlanning_DistanceWeightingAvoidsOutOfRangeSpam","Passed","0.007551"
"BossController_AttackTimeline_LowFpsCoarseStep_CompletesSingleCycle","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_AttackTimeline_LowFpsCoarseStep_CompletesSingleCycle","Passed","0.165365"
"BossController_BreakAndQueue_RespectCoreRules","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_BreakAndQueue_RespectCoreRules","Passed","0.004332"
"BossController_BreakWindowEnd_PostBreakPunish_SeedsImmediateReengageTimers","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_BreakWindowEnd_PostBreakPunish_SeedsImmediateReengageTimers","Passed","0.011630"
"BossController_EffectiveDecisionInterval_ScalesWithTimePressure","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_EffectiveDecisionInterval_ScalesWithTimePressure","Passed","0.006330"
"BossController_InterruptRecoveryGate_BlocksImmediateRestartAfterStun","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_InterruptRecoveryGate_BlocksImmediateRestartAfterStun","Passed","0.310292"
"BossController_InterruptRecoveryGate_LowFpsJitter_StillRespectsCounterWindow","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_InterruptRecoveryGate_LowFpsJitter_StillRespectsCounterWindow","Passed","0.597540"
"BossController_Phase2ComboChain_QueuesFollowupAfterOpener","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_Phase2ComboChain_QueuesFollowupAfterOpener","Passed","0.323042"
"BossController_Phase3PriorityWindow_ForcesSpecialAttackQueue","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_Phase3PriorityWindow_ForcesSpecialAttackQueue","Passed","0.001709"
"BossController_PhaseIntentDecisionMultiplier_SpecialBurst_FasterThanZoning","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseIntentDecisionMultiplier_SpecialBurst_FasterThanZoning","Passed","0.001419"
"BossController_PhaseIntentWeighting_PressureClose_BiasesCloseAttacks","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseIntentWeighting_PressureClose_BiasesCloseAttacks","Passed","0.001313"
"BossController_PhaseTransition_AdvancesWithHealthThresholds","ThirdPersonController.Tests.BossCombatDepthRegressionTests.BossController_PhaseTransition_AdvancesWithHealthThresholds","Passed","0.004351"
