"name","fullname","result","duration"
"BossScenes03To10_LowFpsJitter_RebindStormAndInterruptions_BossGateRemainsStable","ThirdPersonController.Tests.BossChaosStressRegressionTests.BossScenes03To10_LowFpsJitter_RebindStormAndInterruptions_BossGateRemainsStable","Passed","2.048062"
"BossScenes03To10_ReentryShuffle_BossDefeatEventStorm_RemainsSingleCompletionState","ThirdPersonController.Tests.BossChaosStressRegressionTests.BossScenes03To10_ReentryShuffle_BossDefeatEventStorm_RemainsSingleCompletionState","Passed","0.802533"
"Level08And09Scenes_BossGateAndEncounterTuning_AreRuntimeAligned","ThirdPersonController.Tests.BossLevel10GateRegressionTests.Level08And09Scenes_BossGateAndEncounterTuning_AreRuntimeAligned","Passed","0.206965"
"Level08To10SceneSwitch_BossDefeatEventStorm_ResolvesSingleCompletion","ThirdPersonController.Tests.BossLevel10GateRegressionTests.Level08To10SceneSwitch_BossDefeatEventStorm_ResolvesSingleCompletion","Passed","0.442303"
"Level08To10SceneSwitch_LowFpsJitter_RebindStorm_BossGateRemainsStable","ThirdPersonController.Tests.BossLevel10GateRegressionTests.Level08To10SceneSwitch_LowFpsJitter_RebindStorm_BossGateRemainsStable","Passed","0.683462"
"Level08To10SceneSwitchAndReentry_BossGateBinding_RemainsSingle","ThirdPersonController.Tests.BossLevel10GateRegressionTests.Level08To10SceneSwitchAndReentry_BossGateBinding_RemainsSingle","Passed","0.394553"
"Level10Scene_BossGateChain_IsWiredForStrongholdThenBossFlow","ThirdPersonController.Tests.BossLevel10GateRegressionTests.Level10Scene_BossGateChain_IsWiredForStrongholdThenBossFlow","Passed","0.139705"
"LevelRuntimeConfigurator_RuntimeBossGateWiring_BindsSingleDefeatHandler","ThirdPersonController.Tests.BossLevel10GateRegressionTests.LevelRuntimeConfigurator_RuntimeBossGateWiring_BindsSingleDefeatHandler","Passed","0.009722"
"BossGatedScenes_PlayerDeathBeforeBoss_DoesNotBypassCompletionGate","ThirdPersonController.Tests.BossLevelFlowEndToEndRegressionTests.BossGatedScenes_PlayerDeathBeforeBoss_DoesNotBypassCompletionGate","Passed","1.081317"
"BossGatedScenes_StrongholdThenBoss_TriggersSingleCompletionAndVictory","ThirdPersonController.Tests.BossLevelFlowEndToEndRegressionTests.BossGatedScenes_StrongholdThenBoss_TriggersSingleCompletionAndVictory","Passed","0.957702"
"Level03To07_BossGateLongChain_ForwardSweep_TriggersSingleCompletionAndVictory","ThirdPersonController.Tests.BossMidTierFlowLongChainRegressionTests.Level03To07_BossGateLongChain_ForwardSweep_TriggersSingleCompletionAndVictory","Passed","1.272336"
"Level03To07_BossGateLongChain_ReentryWithInterruption_RemainsStableAndNoDuplicateHandlers","ThirdPersonController.Tests.BossMidTierFlowLongChainRegressionTests.Level03To07_BossGateLongChain_ReentryWithInterruption_RemainsStableAndNoDuplicateHandlers","Passed","2.580207"
"RuntimeConfigurator_BindsBossSpawnPoint_FromOwnScene_WhenMultipleBossScenesLoaded","ThirdPersonController.Tests.BossSceneLocalBindingRegressionTests.RuntimeConfigurator_BindsBossSpawnPoint_FromOwnScene_WhenMultipleBossScenesLoaded","Passed","0.182340"
