"gate","status","total","blocking","warnings","errors","csv","note"
"PlayMode Tests","Passed","63","0","0","0","C:\test\Shrimp\Logs\PlayMode_BossP3Round6_fullboss.xml","total=63 passed=63 failed=0 skipped=0"
"LevelData Scene Gate","Passed","10","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\level_data_scene_validator_report.csv","total=10 ok=10 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Level Content Gate","Passed","10","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\level_content_completeness_report.csv","total=10 ok=10 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Level Combat Density Gate","Passed","9","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\level_combat_density_gap_report.csv","total=9 ok=9 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Level Beat Progression Tuning Gate","Passed","9","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\level_beat_progression_tuning_report.csv","total=9 ok=9 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Level Beat Sheet Gate","Passed","9","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\level_beat_sheet_consistency_report.csv","total=9 ok=9 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Level Progression Curve Gate","Passed","9","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\level_progression_curve_consistency_report.csv","total=9 ok=9 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Boss Flow Coupling Gate","Passed","3","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\boss_level_flow_coupling_report.csv","total=3 ok=3 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Boss Encounter Round3 Gate","Passed","8","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\boss_encounter_round3_tuning_report.csv","total=8 ok=8 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Boss Phase Attack Gate","Passed","10","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\boss_phase_attack_consistency_report.csv","total=10 ok=10 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Boss Choreography Coverage Gate","Passed","3","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\boss_choreography_coverage_report.csv","total=3 ok=3 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Boss Encounter Profile Coverage Gate","Passed","10","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\boss_encounter_profile_coverage_report.csv","total=10 ok=10 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Boss Attack CSV Gate","Passed","8","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\boss_attack_tuning_round4_import_report.csv","total=8 ok=8 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Input Round3 Scene Gate","Skipped","0","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\input_binding_round3_scene_audit.csv","Skipped by switch"
"Input Round3 Full Gate","Passed","96","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\input_binding_round3_full_gate_audit.csv","total=96 ok=96 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Input Mirror Gate","Passed","41","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\input_actions_mirror_audit.csv","total=41 ok=14 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=27 other=0"
"UI Cross-Device Readability Gate","Passed","9","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\ui_cross_device_readability_report.csv","total=9 ok=9 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Comment/Log Quality Gate","Passed","1","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\comment_log_quality_gate_report.csv","total=1 warnings=0 errors=0 ok=1; warning-budget=3"
"Combat Feedback Coverage Gate","Passed","9","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\combat_feedback_coverage_gate_report.csv","total=9 ok=9 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Skill Resource Gap Gate","Passed","12","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\skill_resource_gap_report.csv","total=12 ok=12 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Localization Coverage Gate","Passed","9","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\localization_coverage_gate_report.csv","total=9 ok=9 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Localization Pseudo-Loc Gate","Passed","8","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\localization_pseudoloc_gate_report.csv","total=8 ok=8 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Growth Economy Config Gate","Passed","21","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\growth_economy_config_gate_report.csv","total=21 ok=21 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Steam Config Provision Gate","Skipped","0","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\steam_config_provision_report.csv","Skipped by switch"
"Steam Runtime Mode Gate","Passed","13","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\steam_runtime_mode_report.csv","total=13 ok=13 fixed=0 gap=0 partial=0 error=0 mismatch=0 skipped=0 other=0"
"Enemy Type Scene Gate","Passed","1","0","0","0","C:\test\Shrimp\Logs\EnemyTypeSceneGate.log","exit=0"
"Boss Strict Drill Gate","Skipped","0","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\boss_choreography_strict_gate_drill_round8_report_2026-03-19.md","Skipped by switch"
"P0 Boss Depth Subset","Passed","1","0","0","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p0_boss_depth_gate_report.csv","total=1 passed=1 failed=0 skipped=0"
"P0 Quest Economy Subset","Skipped","0","0","1","0","C:\test\Shrimp\Assets\ThirdPersonController\Reports\p0_quest_economy_gate_report.csv","subset has no matching test cases under current filter"
